instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints
M_00000000,10,1 , 3600.0,0.096 , true, true,8.0,672, 672, 0.000 , 0.022, 0.074,121, 51
M_00000001,10,1 , 3600.0,0.098 , true, true,62.0,703, 703, 0.000 , 0.003, 0.095,121, 51
M_00000002,10,1 , 3600.0,0.061 , true, true,19.0,529, 529, 0.000 , 0.001, 0.060,121, 51
M_00000003,10,1 , 3600.0,0.049 , true, true,13.0,461, 461, 0.000 , 0.001, 0.048,121, 51
M_00000004,10,1 , 3600.0,0.046 , true, true,26.0,596, 596, 0.000 , 0.003, 0.043,121, 51
M_00000005,10,1 , 3600.0,0.080 , true, true,20.0,526, 526, 0.000 , 0.001, 0.079,121, 51
M_00000006,10,1 , 3600.0,0.074 , true, true,149.0,527, 527, 0.000 , 0.002, 0.072,121, 51
M_00000007,10,1 , 3600.0,0.062 , true, true,126.0,480, 480, 0.000 , 0.001, 0.061,121, 51
M_00000008,10,1 , 3600.0,0.056 , true, true,7.0,524, 524, 0.000 , 0.001, 0.055,121, 51
M_00000009,10,1 , 3600.0,0.071 , true, true,206.0,542, 542, 0.000 , 0.001, 0.070,121, 51
M_00000010,10,1 , 3600.0,0.065 , true, true,80.0,517, 517, 0.000 , 0.001, 0.064,121, 51
M_00000011,10,1 , 3600.0,0.068 , true, true,8.0,691, 691, 0.000 , 0.000, 0.068,121, 51
M_00000012,10,1 , 3600.0,0.044 , true, true,6.0,544, 544, 0.000 , 0.001, 0.043,121, 51
M_00000013,10,1 , 3600.0,0.068 , true, true,107.0,518, 518, 0.000 , 0.001, 0.067,121, 51
M_00000014,10,1 , 3600.0,0.063 , true, true,20.0,618, 618, 0.000 , 0.001, 0.062,121, 51
M_00000015,10,1 , 3600.0,0.068 , true, true,24.0,712, 712, 0.000 , 0.000, 0.068,121, 51
M_00000016,10,1 , 3600.0,0.078 , true, true,6.0,606, 606, 0.000 , 0.001, 0.077,121, 51
M_00000017,10,1 , 3600.0,0.062 , true, true,11.0,549, 549, 0.000 , 0.000, 0.062,121, 51
M_00000018,10,1 , 3600.0,0.075 , true, true,79.0,549, 549, 0.000 , 0.000, 0.075,121, 51
M_00000019,10,1 , 3600.0,0.058 , true, true,17.0,590, 590, 0.000 , 0.000, 0.058,121, 51
M_00000020,20,1 , 3600.0,0.153 , true, true,55.0,951, 951, 0.000 , 0.002, 0.151,441, 101
M_00000021,20,1 , 3600.0,9.102 , true, true,98582.0,1176, 1176, 0.000 , 0.003, 9.099,441, 101
M_00000022,20,1 , 3600.0,35.665 , true, true,140286.0,1005, 1005, 0.000 , 0.005, 35.660,441, 101
M_00000023,20,1 , 3600.0,0.143 , true, true,33.0,920, 920, 0.000 , 0.003, 0.140,441, 101
M_00000024,20,1 , 3600.0,94.678 , true, true,244674.0,1185, 1185, 0.000 , 0.002, 94.676,441, 101
M_00000025,20,1 , 3600.0,0.258 , true, true,319.0,1103, 1103, 0.000 , 0.001, 0.257,441, 101
M_00000026,20,1 , 3600.0,1.187 , true, true,3698.0,1277, 1277, 0.000 , 0.001, 1.186,441, 101
M_00000027,20,1 , 3600.0,0.166 , true, true,55.0,967, 967, 0.000 , 0.002, 0.164,441, 101
M_00000028,20,1 , 3600.0,4.728 , true, true,10051.0,1146, 1146, 0.000 , 0.001, 4.727,441, 101
M_00000029,20,1 , 3600.0,2.650 , true, true,5395.0,1112, 1112, 0.000 , 0.001, 2.649,441, 101
M_00000030,20,1 , 3600.0,0.475 , true, true,592.0,1143, 1143, 0.000 , 0.002, 0.473,441, 101
M_00000031,20,1 , 3600.0,9.987 , true, true,24726.0,1212, 1212, 0.000 , 0.001, 9.986,441, 101
M_00000032,20,1 , 3600.0,1.168 , true, true,3288.0,943, 943, 0.000 , 0.002, 1.166,441, 101
M_00000033,20,1 , 3600.0,25.968 , true, true,50628.0,1135, 1135, 0.000 , 0.002, 25.966,441, 101
