 globalUB-MILP,, globalUB,,gap
1676,,1676,,0
1710,,1710,,0
2063,,2063,,0
2123,,2123,,0
2224,,2224,,0
2076,,2076,,0
2399,,2399,,0
2036,,2036,,0
2236,,2236,,0
2180,,2180,,0
2054,,2054,,0
2233,,2233,,0
2505,,2505,,0
2279,,2279,,0
2448,,2448,,0
2171,,2171,,0
2395,,2395,,0
2300,,2300,,0
2294,,2294,,0
2423,,2423,,0
2175,,2175,,0
2357,,2357,,0
2268,,2268,,0
2390,,2390,,0
2353,,2353,,0
2458,,2458,,0
2204,,2204,,0
2392,,2392,,0
2082,,2082,,0
2237,,2237,,0
2257,,2257,,0
2375,,2375,,0
2253,,2253,,0
2020,,2020,,0
2326,,2326,,0
2169,,2169,,0
2177,,2177,,0
2383,,2383,,0
2294,,2294,,0
2285,,2285,,0
2127,,2127,,0
2325,,2325,,0
2222,,2222,,0
2099,,2099,,0
2104,,2104,,0
2224,,2224,,0
2573,,2573,,0
2273,,2273,,0
2294,,2294,,0
2265,,2265,,0
2002,,2002,,0
2256,,2256,,0
2730,,2730,,0
2338,,2338,,0
2570,,2570,,0
2390,,2390,,0
2728,,2728,,0
2669,,2669,,0
2382,,2382,,0
2641,,2641,,0
2536,,2536,,0
2526,,2526,,0
2668,,2668,,0
2505,,2505,,0
2549,,2549,,0
2537,,2537,,0
2611,,2611,,0
2612,,2612,,0
2596,,2596,,0
2467,,2467,,0
2535,,2535,,0
2425,,2425,,0
2805,,2805,,0
2479,,2479,,0
2359,,2359,,0
2458,,2458,,0
2528,,2528,,0
2657,,2657,,0
2469,,2469,,0
2591,,2591,,0
2864,,2864,,0
2681,,2681,,0
2512,,2512,,0
2611,,2611,,0
2788,,2788,,0
2467,,2467,,0
2482,,2482,,0
2260,,2260,,0
2428,,2428,,0
2532,,2532,,0
2490,,2490,,0
2564,,2564,,0
2573,,2573,,0
2582,,2582,,0
2343,,2343,,0
2488,,2488,,0
2648,,2648,,0
2737,,2737,,0
2432,,2432,,0
2286,,2286,,0
2218,,2218,,0
2671,,2671,,0
2780,,2780,,0
2990,,2990,,0
2676,,2676,,0
2838,,2838,,0
2811,,2811,,0
2673,,2673,,0
2690,,2690,,0
2992,,2992,,0
2937,,2937,,0
2648,,2648,,0
2810,,2810,,0
2969,,2969,,0
2831,,2831,,0
2708,,2708,,0
2678,,2678,,0
3014,,3014,,0
2350,,2350,,0
2522,,2522,,0
2554,,2554,,0
2703,,2703,,0
2715,,2715,,0
2899,,2899,,0
2678,,2678,,0
2836,,2836,,0
2722,,2722,,0
2800,,2800,,0
2679,,2679,,0
2731,,2731,,0
