instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints
L_00000055,20,1 , 3600.0,0.166 , true, true,6.0,540, 540, 0.000 , 0.001, 0.165,441, 101
L_00000056,20,1 , 3600.0,0.177 , true, true,11.0,484, 484, 0.000 , 0.001, 0.176,441, 101
L_00000057,20,1 , 3600.0,2.714 , true, true,4630.0,673, 673, 0.000 , 0.001, 2.713,441, 101
L_00000058,20,1 , 3600.0,0.144 , true, true,6.0,545, 545, 0.000 , 0.002, 0.142,441, 101
L_00000059,20,1 , 3600.0,0.141 , true, true,7.0,524, 524, 0.000 , 0.001, 0.140,441, 101
L_00000060,20,1 , 3600.0,0.158 , true, true,6.0,552, 552, 0.000 , 0.001, 0.157,441, 101
L_00000061,20,1 , 3600.0,0.165 , true, true,6.0,549, 549, 0.000 , 0.001, 0.164,441, 101
L_00000062,20,1 , 3600.0,0.175 , true, true,6.0,567, 567, 0.000 , 0.001, 0.174,441, 101
L_00000063,20,1 , 3600.0,0.158 , true, true,6.0,525, 525, 0.000 , 0.001, 0.157,441, 101
L_00000064,20,1 , 3600.0,0.169 , true, true,6.0,624, 624, 0.000 , 0.001, 0.168,441, 101
L_00000065,20,1 , 3600.0,0.140 , true, true,6.0,551, 551, 0.000 , 0.001, 0.139,441, 101
L_00000066,20,1 , 3600.0,0.197 , true, true,6.0,555, 555, 0.000 , 0.002, 0.195,441, 101
L_00000067,20,1 , 3600.0,0.161 , true, true,6.0,588, 588, 0.000 , 0.001, 0.160,441, 101
L_00000068,20,1 , 3600.0,0.128 , true, true,4.0,402, 402, 0.000 , 0.001, 0.127,441, 101
L_00000069,20,1 , 3600.0,0.075 , true, true,1.0,359, 359, 0.000 , 0.002, 0.073,441, 101
L_00000070,20,1 , 3600.0,0.124 , true, true,6.0,511, 511, 0.000 , 0.001, 0.123,441, 101
L_00000071,20,1 , 3600.0,0.151 , true, true,6.0,516, 516, 0.000 , 0.001, 0.150,441, 101
L_00000072,20,1 , 3600.0,0.183 , true, true,6.0,492, 492, 0.000 , 0.001, 0.182,441, 101
L_00000073,20,1 , 3600.0,0.182 , true, true,6.0,555, 555, 0.000 , 0.001, 0.181,441, 101
L_00000074,20,1 , 3600.0,0.166 , true, true,10.0,588, 588, 0.000 , 0.001, 0.165,441, 101
L_00000075,20,1 , 3600.0,0.170 , true, true,6.0,500, 500, 0.000 , 0.001, 0.169,441, 101
L_00000076,20,1 , 3600.0,5.075 , true, true,7152.0,453, 453, 0.000 , 0.001, 5.074,441, 101
L_00000077,20,1 , 3600.0,0.181 , true, true,6.0,530, 530, 0.000 , 0.001, 0.180,441, 101
L_00000078,20,1 , 3600.0,0.140 , true, true,6.0,614, 614, 0.000 , 0.001, 0.139,441, 101
L_00000079,20,1 , 3600.0,0.163 , true, true,1.0,595, 595, 0.000 , 0.001, 0.162,441, 101
L_00000080,20,1 , 3600.0,0.184 , true, true,6.0,527, 527, 0.000 , 0.001, 0.183,441, 101
L_00000081,20,1 , 3600.0,0.151 , true, true,6.0,543, 543, 0.000 , 0.001, 0.150,441, 101
L_00000082,20,1 , 3600.0,0.194 , true, true,6.0,619, 619, 0.000 , 0.002, 0.192,441, 101
L_00000083,20,1 , 3600.0,0.155 , true, true,6.0,518, 518, 0.000 , 0.001, 0.154,441, 101
L_00000084,20,1 , 3600.0,0.126 , true, true,6.0,537, 537, 0.000 , 0.001, 0.125,441, 101
L_00000085,20,1 , 3600.0,0.164 , true, true,6.0,480, 480, 0.000 , 0.001, 0.163,441, 101
L_00000086,20,1 , 3600.0,0.147 , true, true,6.0,517, 517, 0.000 , 0.001, 0.146,441, 101
L_00000087,20,1 , 3600.0,1.886 , true, true,1915.0,449, 449, 0.000 , 0.001, 1.885,441, 101
L_00000088,20,1 , 3600.0,0.153 , true, true,6.0,594, 594, 0.000 , 0.001, 0.152,441, 101
L_00000089,20,1 , 3600.0,0.191 , true, true,6.0,615, 615, 0.000 , 0.001, 0.190,441, 101
L_00000090,20,1 , 3600.0,0.186 , true, true,6.0,512, 512, 0.000 , 0.001, 0.185,441, 101
L_00000091,20,1 , 3600.0,0.141 , true, true,6.0,516, 516, 0.000 , 0.001, 0.140,441, 101
L_00000092,20,1 , 3600.0,0.140 , true, true,6.0,538, 538, 0.000 , 0.002, 0.138,441, 101
L_00000093,20,1 , 3600.0,0.160 , true, true,6.0,516, 516, 0.000 , 0.001, 0.159,441, 101
L_00000094,20,1 , 3600.0,0.140 , true, true,6.0,615, 615, 0.000 , 0.001, 0.139,441, 101
L_00000095,20,1 , 3600.0,0.426 , true, true,195.0,672, 672, 0.000 , 0.001, 0.425,441, 101
L_00000096,20,1 , 3600.0,0.146 , true, true,6.0,580, 580, 0.000 , 0.001, 0.145,441, 101
L_00000097,20,1 , 3600.0,0.155 , true, true,8.0,723, 723, 0.000 , 0.001, 0.154,441, 101
L_00000098,20,1 , 3600.0,0.024 , true, true,1.0,633, 633, 0.000 , 0.002, 0.022,441, 101
L_00000099,20,1 , 3600.0,0.175 , true, true,8.0,451, 451, 0.000 , 0.001, 0.174,441, 101
L_00000100,30,1 , 3600.0,0.053 , true, true,1.0,858, 858, 0.000 , 0.002, 0.051,961, 151
L_00000101,30,1 , 3600.0,0.059 , true, true,1.0,855, 855, 0.000 , 0.003, 0.056,961, 151
L_00000102,30,1 , 3600.0,0.350 , true, true,10.0,936, 936, 0.000 , 0.002, 0.348,961, 151
L_00000103,30,1 , 3600.0,0.355 , true, true,10.0,893, 893, 0.000 , 0.002, 0.353,961, 151
L_00000104,30,1 , 3600.0,0.342 , true, true,13.0,726, 726, 0.000 , 0.002, 0.340,961, 151
L_00000105,30,1 , 3600.0,0.284 , true, true,9.0,834, 834, 0.000 , 0.002, 0.282,961, 151
L_00000106,30,1 , 3600.0,0.286 , true, true,9.0,843, 843, 0.000 , 0.002, 0.284,961, 151
L_00000107,30,1 , 3600.0,0.338 , true, true,10.0,933, 933, 0.000 , 0.002, 0.336,961, 151
L_00000108,30,1 , 3600.0,0.378 , true, true,8.0,805, 805, 0.000 , 0.002, 0.376,961, 151
L_00000109,30,1 , 3600.0,0.668 , true, true,130.0,897, 897, 0.000 , 0.002, 0.666,961, 151
L_00000110,30,1 , 3600.0,0.347 , true, true,11.0,783, 783, 0.000 , 0.002, 0.345,961, 151
L_00000111,30,1 , 3600.0,0.333 , true, true,8.0,807, 807, 0.000 , 0.002, 0.331,961, 151
L_00000112,30,1 , 3600.0,0.411 , true, true,8.0,758, 758, 0.000 , 0.001, 0.410,961, 151
L_00000113,30,1 , 3600.0,0.318 , true, true,9.0,782, 782, 0.000 , 0.001, 0.317,961, 151
L_00000114,30,1 , 3600.0,0.448 , true, true,33.0,987, 987, 0.000 , 0.002, 0.446,961, 151
L_00000115,30,1 , 3600.0,0.327 , true, true,8.0,813, 813, 0.000 , 0.002, 0.325,961, 151
L_00000116,30,1 , 3600.0,0.344 , true, true,8.0,784, 784, 0.000 , 0.002, 0.342,961, 151
L_00000117,30,1 , 3600.0,0.388 , true, true,32.0,900, 900, 0.000 , 0.002, 0.386,961, 151
L_00000118,30,1 , 3600.0,0.531 , true, true,29.0,850, 850, 0.000 , 0.001, 0.530,961, 151
L_00000119,30,1 , 3600.0,0.471 , true, true,32.0,932, 932, 0.000 , 0.002, 0.469,961, 151
L_00000120,30,1 , 3600.0,0.317 , true, true,11.0,1079, 1079, 0.000 , 0.002, 0.315,961, 151
L_00000121,30,1 , 3600.0,0.331 , true, true,8.0,817, 817, 0.000 , 0.001, 0.330,961, 151
L_00000122,30,1 , 3600.0,0.294 , true, true,9.0,743, 743, 0.000 , 0.001, 0.293,961, 151
L_00000123,30,1 , 3600.0,0.343 , true, true,8.0,810, 810, 0.000 , 0.002, 0.341,961, 151
L_00000124,30,1 , 3600.0,0.335 , true, true,8.0,809, 809, 0.000 , 0.002, 0.333,961, 151
L_00000125,30,1 , 3600.0,0.344 , true, true,8.0,847, 847, 0.000 , 0.002, 0.342,961, 151
L_00000126,30,1 , 3600.0,0.296 , true, true,9.0,811, 811, 0.000 , 0.002, 0.294,961, 151
L_00000127,30,1 , 3600.0,0.443 , true, true,31.0,915, 915, 0.000 , 0.002, 0.441,961, 151
L_00000128,30,1 , 3600.0,0.288 , true, true,9.0,823, 823, 0.000 , 0.002, 0.286,961, 151
L_00000129,30,1 , 3600.0,0.333 , true, true,9.0,828, 828, 0.000 , 0.002, 0.331,961, 151
L_00000130,30,1 , 3600.0,0.332 , true, true,8.0,833, 833, 0.000 , 0.002, 0.330,961, 151
L_00000131,30,1 , 3600.0,0.359 , true, true,10.0,1044, 1044, 0.000 , 0.002, 0.357,961, 151
L_00000132,30,1 , 3600.0,0.370 , true, true,11.0,850, 850, 0.000 , 0.002, 0.368,961, 151
L_00000133,30,1 , 3600.0,0.464 , true, true,17.0,820, 820, 0.000 , 0.001, 0.463,961, 151
L_00000134,30,1 , 3600.0,0.363 , true, true,10.0,886, 886, 0.000 , 0.001, 0.362,961, 151
L_00000135,30,1 , 3600.0,0.715 , true, true,394.0,961, 961, 0.000 , 0.002, 0.713,961, 151
L_00000136,30,1 , 3600.0,0.370 , true, true,8.0,832, 832, 0.000 , 0.002, 0.368,961, 151
L_00000137,30,1 , 3600.0,0.366 , true, true,8.0,801, 801, 0.000 , 0.002, 0.364,961, 151
L_00000138,30,1 , 3600.0,0.329 , true, true,9.0,838, 838, 0.000 , 0.002, 0.327,961, 151
L_00000139,30,1 , 3600.0,0.578 , true, true,33.0,908, 908, 0.000 , 0.002, 0.576,961, 151
L_00000140,30,1 , 3600.0,0.277 , true, true,9.0,834, 834, 0.000 , 0.002, 0.275,961, 151
L_00000141,30,1 , 3600.0,0.348 , true, true,8.0,680, 680, 0.000 , 0.002, 0.346,961, 151
L_00000142,30,1 , 3600.0,0.331 , true, true,8.0,713, 713, 0.000 , 0.002, 0.329,961, 151
L_00000143,30,1 , 3600.0,0.311 , true, true,9.0,755, 755, 0.000 , 0.002, 0.309,961, 151
L_00000144,30,1 , 3600.0,0.349 , true, true,8.0,775, 775, 0.000 , 0.001, 0.348,961, 151
L_00000145,30,1 , 3600.0,0.331 , true, true,8.0,789, 789, 0.000 , 0.002, 0.329,961, 151
L_00000146,30,1 , 3600.0,0.470 , true, true,8.0,836, 836, 0.000 , 0.002, 0.468,961, 151
L_00000147,30,1 , 3600.0,0.383 , true, true,8.0,772, 772, 0.000 , 0.002, 0.381,961, 151
L_00000148,30,1 , 3600.0,0.351 , true, true,8.0,825, 825, 0.000 , 0.002, 0.349,961, 151
L_00000149,30,1 , 3600.0,0.305 , true, true,9.0,814, 814, 0.000 , 0.001, 0.304,961, 151
L_00000150,40,1 , 3600.0,0.571 , true, true,13.0,1220, 1220, 0.000 , 0.002, 0.569,1681, 201
L_00000151,40,1 , 3600.0,0.679 , true, true,34.0,1140, 1140, 0.000 , 0.003, 0.676,1681, 201
L_00000152,40,1 , 3600.0,0.872 , true, true,32.0,1049, 1049, 0.000 , 0.002, 0.870,1681, 201
L_00000153,40,1 , 3600.0,0.659 , true, true,12.0,1151, 1151, 0.000 , 0.003, 0.656,1681, 201
L_00000154,40,1 , 3600.0,0.543 , true, true,20.0,988, 988, 0.000 , 0.003, 0.540,1681, 201
L_00000155,40,1 , 3600.0,0.577 , true, true,13.0,1186, 1186, 0.000 , 0.003, 0.574,1681, 201
L_00000156,40,1 , 3600.0,0.966 , true, true,35.0,1162, 1162, 0.000 , 0.002, 0.964,1681, 201
L_00000157,40,1 , 3600.0,0.818 , true, true,32.0,1247, 1247, 0.000 , 0.003, 0.815,1681, 201
L_00000158,40,1 , 3600.0,0.953 , true, true,35.0,1174, 1174, 0.000 , 0.002, 0.951,1681, 201
L_00000159,40,1 , 3600.0,0.686 , true, true,28.0,1198, 1198, 0.000 , 0.003, 0.683,1681, 201
L_00000160,40,1 , 3600.0,1.076 , true, true,97.0,1323, 1323, 0.000 , 0.003, 1.073,1681, 201
L_00000161,40,1 , 3600.0,0.635 , true, true,10.0,1024, 1024, 0.000 , 0.004, 0.631,1681, 201
L_00000162,40,1 , 3600.0,0.659 , true, true,23.0,1133, 1133, 0.000 , 0.007, 0.652,1681, 201
L_00000163,40,1 , 3600.0,0.794 , true, true,112.0,1130, 1130, 0.000 , 0.003, 0.791,1681, 201
L_00000164,40,1 , 3600.0,0.510 , true, true,13.0,1158, 1158, 0.000 , 0.004, 0.506,1681, 201
L_00000165,40,1 , 3600.0,0.665 , true, true,12.0,1117, 1117, 0.000 , 0.003, 0.662,1681, 201
L_00000166,40,1 , 3600.0,0.684 , true, true,31.0,1055, 1055, 0.000 , 0.003, 0.681,1681, 201
L_00000167,40,1 , 3600.0,0.640 , true, true,12.0,1286, 1286, 0.000 , 0.003, 0.637,1681, 201
L_00000168,40,1 , 3600.0,1.699 , true, true,188.0,1246, 1246, 0.000 , 0.003, 1.696,1681, 201
L_00000169,40,1 , 3600.0,0.621 , true, true,10.0,1044, 1044, 0.000 , 0.003, 0.618,1681, 201
L_00000170,40,1 , 3600.0,0.666 , true, true,11.0,1022, 1022, 0.000 , 0.003, 0.663,1681, 201
L_00000171,40,1 , 3600.0,0.095 , true, true,1.0,1079, 1079, 0.000 , 0.003, 0.092,1681, 201
L_00000172,40,1 , 3600.0,0.681 , true, true,35.0,1176, 1176, 0.000 , 0.003, 0.678,1681, 201
L_00000173,40,1 , 3600.0,0.085 , true, true,1.0,1074, 1074, 0.000 , 0.003, 0.082,1681, 201
L_00000174,40,1 , 3600.0,1.089 , true, true,32.0,1111, 1111, 0.000 , 0.003, 1.086,1681, 201
L_00000175,40,1 , 3600.0,0.668 , true, true,12.0,1113, 1113, 0.000 , 0.003, 0.665,1681, 201
L_00000176,40,1 , 3600.0,0.606 , true, true,11.0,1005, 1005, 0.000 , 0.014, 0.592,1681, 201
L_00000177,40,1 , 3600.0,0.593 , true, true,13.0,1181, 1181, 0.000 , 0.002, 0.591,1681, 201
L_00000178,40,1 , 3600.0,1.358 , true, true,83.0,1139, 1139, 0.000 , 0.003, 1.355,1681, 201
L_00000179,40,1 , 3600.0,0.579 , true, true,13.0,1203, 1203, 0.000 , 0.003, 0.576,1681, 201
L_00000180,40,1 , 3600.0,0.612 , true, true,10.0,1058, 1058, 0.000 , 0.003, 0.609,1681, 201
