algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Mixed Integer Linear Programming,L_00000060,20,true, 60.0, 0.099, 552, 552, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000061,20,true, 60.0, 0.158, 549, 549, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000062,20,true, 60.0, 0.155, 567, 567, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000063,20,true, 60.0, 0.226, 525, 525, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000064,20,true, 60.0, 0.241, 624, 624, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000065,20,true, 60.0, 0.157, 551, 551, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000066,20,true, 60.0, 0.166, 555, 555, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000067,20,true, 60.0, 0.168, 588, 588, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000068,20,true, 60.0, 0.143, 402, 402, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000069,20,true, 60.0, 0.133, 359, 359, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000070,20,true, 60.0, 0.144, 511, 511, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000071,20,true, 60.0, 0.124, 516, 516, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000072,20,true, 60.0, 0.151, 492, 492, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000073,20,true, 60.0, 0.195, 555, 555, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000074,20,true, 60.0, 0.139, 588, 588, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000075,20,true, 60.0, 0.160, 500, 500, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000076,20,true, 60.0, 0.365, 453, 453, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000077,20,true, 60.0, 0.134, 530, 530, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000078,20,true, 60.0, 0.148, 614, 614, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000079,20,true, 60.0, 0.139, 595, 595, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000080,20,true, 60.0, 0.187, 527, 527, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000081,20,true, 60.0, 0.126, 543, 543, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000082,20,true, 60.0, 0.114, 619, 619, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000083,20,true, 60.0, 0.177, 518, 518, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000084,20,true, 60.0, 0.151, 537, 537, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000085,20,true, 60.0, 0.186, 480, 480, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000086,20,true, 60.0, 0.131, 517, 517, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000087,20,true, 60.0, 4.112, 449, 449, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000088,20,true, 60.0, 0.204, 594, 594, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000089,20,true, 60.0, 0.189, 615, 615, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000090,20,true, 60.0, 0.213, 512, 512, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000091,20,true, 60.0, 0.234, 516, 516, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000092,20,true, 60.0, 0.166, 538, 538, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000093,20,true, 60.0, 0.178, 516, 516, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000094,20,true, 60.0, 0.153, 615, 615, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000095,20,true, 60.0, 0.211, 672, 672, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000096,20,true, 60.0, 0.185, 580, 580, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000097,20,true, 60.0, 0.348, 723, 723, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000098,20,true, 60.0, 0.036, 633, 633, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000099,20,true, 60.0, 0.104, 451, 451, 2, 441, 101, 0
Mixed Integer Linear Programming,L_00000100,30,true, 60.0, 0.141, 858, 858, 2, 961, 151, 0
Mixed Integer Linear Programming,L_00000101,30,true, 60.0, 0.114, 855, 855, 2, 961, 151, 0
