algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
L_00000054,Mixed Integer Linear Programming, true, 60.0, 0.146, 519, 519, 2, 441, 101, 0
L_00000055,Mixed Integer Linear Programming, true, 60.0, 0.149, 540, 540, 2, 441, 101, 0
L_00000056,Mixed Integer Linear Programming, true, 60.0, 0.170, 484, 484, 2, 441, 101, 0
L_00000057,Mixed Integer Linear Programming, true, 60.0, 3.532, 673, 673, 2, 441, 101, 0
L_00000058,Mixed Integer Linear Programming, true, 60.0, 0.185, 545, 545, 2, 441, 101, 0
L_00000059,Mixed Integer Linear Programming, true, 60.0, 0.175, 524, 524, 2, 441, 101, 0
L_00000060,Mixed Integer Linear Programming, true, 60.0, 0.131, 552, 552, 2, 441, 101, 0
L_00000061,Mixed Integer Linear Programming, true, 60.0, 0.178, 549, 549, 2, 441, 101, 0
L_00000062,Mixed Integer Linear Programming, true, 60.0, 0.152, 567, 567, 2, 441, 101, 0
L_00000063,Mixed Integer Linear Programming, true, 60.0, 0.209, 525, 525, 2, 441, 101, 0
L_00000064,Mixed Integer Linear Programming, true, 60.0, 0.223, 624, 624, 2, 441, 101, 0
L_00000065,Mixed Integer Linear Programming, true, 60.0, 0.157, 551, 551, 2, 441, 101, 0
L_00000066,Mixed Integer Linear Programming, true, 60.0, 0.157, 555, 555, 2, 441, 101, 0
L_00000067,Mixed Integer Linear Programming, true, 60.0, 0.160, 588, 588, 2, 441, 101, 0
L_00000068,Mixed Integer Linear Programming, true, 60.0, 0.165, 402, 402, 2, 441, 101, 0
L_00000069,Mixed Integer Linear Programming, true, 60.0, 0.119, 359, 359, 2, 441, 101, 0
L_00000070,Mixed Integer Linear Programming, true, 60.0, 0.153, 511, 511, 2, 441, 101, 0
L_00000071,Mixed Integer Linear Programming, true, 60.0, 0.124, 516, 516, 2, 441, 101, 0
L_00000072,Mixed Integer Linear Programming, true, 60.0, 0.153, 492, 492, 2, 441, 101, 0
L_00000073,Mixed Integer Linear Programming, true, 60.0, 0.194, 555, 555, 2, 441, 101, 0
L_00000074,Mixed Integer Linear Programming, true, 60.0, 0.142, 588, 588, 2, 441, 101, 0
L_00000075,Mixed Integer Linear Programming, true, 60.0, 0.159, 500, 500, 2, 441, 101, 0
L_00000076,Mixed Integer Linear Programming, true, 60.0, 0.384, 453, 453, 2, 441, 101, 0
L_00000077,Mixed Integer Linear Programming, true, 60.0, 0.141, 530, 530, 2, 441, 101, 0
L_00000078,Mixed Integer Linear Programming, true, 60.0, 0.146, 614, 614, 2, 441, 101, 0
