instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
L_00000375 , 80 , 1 , 3600, 0.611,true, false, 3,2392.000, 2391.200, 0.033, 2392.000, 2391.200, 0.569, 0.569, 0.049, 0.483, 1, 0, 0, 0, 2,65721,43870,31605,0.18900000000000014
L_00000376 , 80 , 1 , 3600, 0.889,true, true, 7,2082.000, 2082.000, 0.000, 2083.000, 2072.200, 0.308, 0.838, 0.041, 0.764, 4, 1, 0, 0, 3,122203,100530,53744,0.12600000000000008
L_00000377 , 80 , 1 , 3600, 0.441,true, true, 5,2237.000, 2237.000, 0.000, 2241.000, 2220.700, 0.254, 0.432, 0.050, 0.363, 3, 1, 0, 0, 2,110792,80637,53761,0.07300000000000005
L_00000378 , 80 , 1 , 3600, 0.452,true, true, 7,2257.000, 2257.000, 0.000, 2258.000, 2242.700, 0.269, 0.438, 0.037, 0.387, 4, 1, 0, 0, 3,112280,84883,54533,0.07500000000000005
L_00000379 , 80 , 1 , 3600, 0.633,true, true, 7,2375.000, 2375.000, 0.000, 2390.000, 2372.500, 0.349, 0.617, 0.036, 0.560, 4, 1, 0, 0, 3,133325,98368,67051,0.07900000000000006
L_00000380 , 80 , 1 , 3600, 1.625,true, true, 39,2253.000, 2253.000, 0.000, 2256.000, 2238.300, 0.233, 1.522, 0.131, 1.261, 20, 1, 0, 0, 19,271498,215139,151172,0.16400000000000012
L_00000381 , 80 , 1 , 3600, 0.800,true, true, 5,2020.000, 2020.000, 0.000, 2022.000, 2004.000, 0.278, 0.783, 0.112, 0.633, 3, 1, 0, 0, 2,188952,146546,106388,0.11700000000000009
L_00000382 , 80 , 1 , 3600, 0.536,true, true, 5,2326.000, 2326.000, 0.000, 2327.000, 2318.600, 0.415, 0.527, 0.027, 0.468, 3, 1, 0, 0, 2,107192,78135,59359,0.08400000000000006
L_00000383 , 80 , 1 , 3600, 0.673,true, true, 7,2169.000, 2169.000, -0.000, 2170.000, 2167.900, 0.612, 0.661, 0.023, 0.608, 4, 1, 0, 0, 3,114484,90356,44941,0.060000000000000046
L_00000384 , 80 , 1 , 3600, 0.488,true, false, 3,2177.000, 2176.700, 0.014, 2177.000, 2176.700, 0.484, 0.484, 0.019, 0.442, 1, 0, 0, 0, 2,121447,95916,69436,0.059000000000000045
L_00000385 , 80 , 1 , 3600, 0.331,true, true, 3,2383.000, 2383.000, 0.000, 2383.000, 2381.300, 0.277, 0.327, 0.022, 0.284, 3, 1, 0, 1, 0,100936,71267,61288,0.054000000000000034
L_00000386 , 80 , 1 , 3600, 2.096,true, true, 75,2294.000, 2294.000, 0.000, 2296.000, 2283.400, 0.296, 1.899, 0.166, 1.470, 38, 1, 0, 0, 37,293049,241003,141420,0.22800000000000017
L_00000387 , 80 , 1 , 3600, 0.608,true, true, 3,2285.000, 2285.000, 0.000, 2285.000, 2273.500, 0.355, 0.600, 0.047, 0.521, 3, 1, 0, 1, 0,139210,104958,86198,0.08700000000000006
L_00000388 , 80 , 1 , 3600, 0.496,true, true, 5,2127.000, 2127.000, -0.000, 2128.000, 2121.700, 0.406, 0.478, 0.023, 0.425, 3, 1, 0, 0, 2,108057,86278,57076,0.07800000000000006
L_00000389 , 80 , 1 , 3600, 0.445,true, true, 5,2325.000, 2325.000, -0.000, 2326.000, 2317.500, 0.299, 0.436, 0.042, 0.365, 3, 1, 0, 0, 2,128212,95371,77835,0.06800000000000005
L_00000390 , 80 , 1 , 3600, 0.727,true, true, 3,2222.000, 2222.000, 0.000, 2222.000, 2204.200, 0.331, 0.723, 0.060, 0.631, 3, 1, 0, 1, 0,187826,150219,106047,0.10800000000000008
L_00000391 , 80 , 1 , 3600, 0.556,true, true, 5,2099.000, 2099.000, 0.000, 2100.000, 2090.900, 0.401, 0.545, 0.041, 0.474, 3, 1, 0, 0, 2,150604,113765,94644,0.08300000000000006
L_00000392 , 80 , 1 , 3600, 0.526,true, true, 3,2104.000, 2104.000, 0.000, 2104.000, 2096.400, 0.251, 0.521, 0.028, 0.465, 3, 1, 0, 1, 0,130012,101814,79708,0.08900000000000007
L_00000393 , 80 , 1 , 3600, 0.884,true, true, 5,2224.000, 2224.000, -0.000, 2229.000, 2206.400, 0.205, 0.873, 0.101, 0.742, 3, 1, 0, 0, 2,203618,165822,100974,0.10600000000000008
