instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
M_00000000 , 10 , 1 , 3600, 0.117,true, true, 3,672.000, 672.000, 0.000, 702.000, 644.536, 0.067, 0.075, 0.016, 0.038, 3, 1, 1, 0, 0,884,506,66,0.01900000000000001
M_00000001 , 10 , 1 , 3600, 0.068,true, true, 9,703.000, 703.000, 0.000, 723.000, 665.208, 0.023, 0.039, 0.010, 0.016, 9, 1, 0, 4, 0,1579,458,103,0.002
M_00000002 , 10 , 1 , 3600, 0.014,true, true, 3,529.000, 529.000, 0.000, 529.000, 516.800, 0.010, 0.012, 0.001, 0.005, 3, 1, 0, 1, 0,684,238,5,0.002
M_00000003 , 10 , 1 , 3600, 0.022,true, true, 3,461.000, 461.000, 0.000, 462.000, 443.100, 0.019, 0.020, 0.005, 0.006, 3, 1, 1, 0, 0,807,299,95,0.001
M_00000004 , 10 , 1 , 3600, 0.020,true, true, 3,596.000, 596.000, 0.000, 596.000, 588.235, 0.015, 0.018, 0.001, 0.005, 3, 1, 0, 1, 0,1640,646,402,0.002
M_00000005 , 10 , 1 , 3600, 0.018,true, true, 3,526.000, 526.000, 0.000, 526.000, 513.970, 0.014, 0.017, 0.001, 0.007, 3, 1, 0, 1, 0,721,214,3,0.001
M_00000006 , 10 , 1 , 3600, 0.026,true, false, 5,527.000, 526.500, 0.095, 531.000, 514.600, 0.018, 0.021, 0.006, 0.008, 4, 1, 1, 0, 1,1036,460,34,0.001
M_00000007 , 10 , 1 , 3600, 0.028,true, false, 5,480.000, 479.800, 0.042, 480.000, 462.900, 0.015, 0.023, 0.003, 0.010, 3, 1, 0, 0, 2,1686,661,102,0.002
M_00000008 , 10 , 1 , 3600, 0.016,true, true, 3,524.000, 524.000, 0.000, 542.000, 511.759, 0.013, 0.015, 0.002, 0.004, 3, 1, 1, 0, 0,1295,542,39,0.0
M_00000009 , 10 , 1 , 3600, 0.035,true, true, 5,542.000, 542.000, 0.000, 543.000, 530.000, 0.021, 0.030, 0.002, 0.008, 5, 1, 1, 1, 0,1590,889,79,0.002
M_00000010 , 10 , 1 , 3600, 0.031,true, false, 5,517.000, 516.250, 0.145, 531.000, 503.600, 0.019, 0.024, 0.003, 0.010, 4, 1, 1, 0, 1,1070,542,187,0.002
M_00000011 , 10 , 1 , 3600, 0.081,true, true, 63,691.000, 691.000, 0.000, 691.000, 640.558, 0.019, 0.060, 0.020, 0.014, 63, 1, 0, 31, 0,6802,2776,597,0.001
M_00000012 , 10 , 1 , 3600, 0.025,true, true, 3,544.000, 544.000, 0.000, 544.000, 534.400, 0.019, 0.021, 0.002, 0.003, 3, 1, 0, 1, 0,657,344,61,0.0
M_00000013 , 10 , 1 , 3600, 0.022,true, true, 3,518.000, 518.000, 0.000, 524.000, 505.800, 0.019, 0.020, 0.003, 0.003, 3, 1, 1, 0, 0,594,302,56,0.001
M_00000014 , 10 , 1 , 3600, 0.030,true, true, 7,618.000, 618.000, 0.000, 622.000, 615.556, 0.022, 0.025, 0.001, 0.006, 6, 1, 1, 1, 1,1770,798,35,0.001
M_00000015 , 10 , 1 , 3600, 0.046,true, true, 19,712.000, 712.000, 0.000, 722.000, 674.796, 0.014, 0.025, 0.002, 0.005, 19, 1, 0, 9, 0,1919,529,161,0.001
M_00000016 , 10 , 1 , 3600, 0.020,true, true, 3,606.000, 606.000, 0.000, 606.000, 602.412, 0.015, 0.016, 0.004, 0.002, 3, 1, 0, 1, 0,998,348,43,0.0
M_00000017 , 10 , 1 , 3600, 0.015,true, true, 3,549.000, 549.000, 0.000, 549.000, 539.900, 0.010, 0.012, 0.002, 0.003, 3, 1, 0, 1, 0,936,461,154,0.0
M_00000018 , 10 , 1 , 3600, 0.019,true, true, 5,549.000, 549.000, 0.000, 553.000, 538.376, 0.012, 0.015, 0.003, 0.004, 5, 1, 2, 0, 0,2341,904,210,0.0
