instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
M_00000000 , 10 , 1 , 3600, 0.092,true, true, 3,672.000, 672.000, 0.000, 702.000, 644.536, 0.050, 0.055, 0.009, 0.028, 3, 1, 1, 0, 0,884,506,66,0.014000000000000005
M_00000001 , 10 , 1 , 3600, 0.042,true, true, 9,703.000, 703.000, 0.000, 723.000, 665.208, 0.012, 0.025, 0.001, 0.013, 9, 1, 0, 4, 0,1579,458,103,0.002
M_00000002 , 10 , 1 , 3600, 0.011,true, true, 3,529.000, 529.000, 0.000, 529.000, 516.800, 0.008, 0.010, 0.002, 0.006, 3, 1, 0, 1, 0,684,238,5,0.001
M_00000003 , 10 , 1 , 3600, 0.019,true, true, 3,461.000, 461.000, 0.000, 462.000, 443.100, 0.016, 0.017, 0.003, 0.006, 3, 1, 1, 0, 0,807,299,95,0.002
M_00000004 , 10 , 1 , 3600, 0.016,true, true, 3,596.000, 596.000, 0.000, 596.000, 588.235, 0.013, 0.014, 0.002, 0.005, 3, 1, 0, 1, 0,1640,646,402,0.001
M_00000005 , 10 , 1 , 3600, 0.012,true, true, 3,526.000, 526.000, 0.000, 526.000, 513.970, 0.009, 0.010, 0.001, 0.004, 3, 1, 0, 1, 0,721,214,3,0.0
M_00000006 , 10 , 1 , 3600, 0.019,true, false, 5,527.000, 526.500, 0.095, 531.000, 514.600, 0.013, 0.015, 0.002, 0.007, 4, 1, 1, 0, 1,1036,460,34,0.0
M_00000007 , 10 , 1 , 3600, 0.023,true, false, 5,480.000, 479.800, 0.042, 480.000, 462.900, 0.013, 0.020, 0.002, 0.010, 3, 1, 0, 0, 2,1686,661,102,0.001
M_00000008 , 10 , 1 , 3600, 0.017,true, true, 3,524.000, 524.000, 0.000, 542.000, 511.759, 0.012, 0.014, 0.003, 0.006, 3, 1, 1, 0, 0,1295,542,39,0.001
M_00000009 , 10 , 1 , 3600, 0.027,true, true, 5,542.000, 542.000, 0.000, 543.000, 530.000, 0.018, 0.024, 0.008, 0.007, 5, 1, 1, 1, 0,1590,889,79,0.001
M_00000010 , 10 , 1 , 3600, 0.018,true, false, 5,517.000, 516.250, 0.145, 531.000, 503.600, 0.009, 0.014, 0.002, 0.006, 4, 1, 1, 0, 1,1070,542,187,0.0
M_00000011 , 10 , 1 , 3600, 0.063,true, true, 63,691.000, 691.000, 0.000, 691.000, 640.558, 0.015, 0.053, 0.011, 0.013, 63, 1, 0, 31, 0,6802,2776,597,0.002
M_00000012 , 10 , 1 , 3600, 0.016,true, true, 3,544.000, 544.000, 0.000, 544.000, 534.400, 0.011, 0.013, 0.004, 0.003, 3, 1, 0, 1, 0,657,344,61,0.0
