instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
M_00000000 , 10 , 1 , 3600, 0.105,true, true, 3,672.000, 672.000, 0.000, 702.000, 644.536, 0.062, 0.066, 0.013, 0.032, 3, 1, 1, 0, 0,884,506,66,0.011000000000000003
M_00000001 , 10 , 1 , 3600, 0.044,true, true, 9,703.000, 703.000, 0.000, 723.000, 665.208, 0.013, 0.025, 0.001, 0.015, 9, 1, 0, 4, 0,1579,458,103,0.002
M_00000002 , 10 , 1 , 3600, 0.011,true, true, 3,529.000, 529.000, 0.000, 529.000, 516.800, 0.008, 0.010, 0.000, 0.005, 3, 1, 0, 1, 0,684,238,5,0.002
M_00000003 , 10 , 1 , 3600, 0.018,true, true, 3,461.000, 461.000, 0.000, 462.000, 443.100, 0.016, 0.017, 0.005, 0.004, 3, 1, 1, 0, 0,807,299,95,0.002
M_00000004 , 10 , 1 , 3600, 0.018,true, true, 3,596.000, 596.000, 0.000, 596.000, 588.235, 0.015, 0.017, 0.006, 0.005, 3, 1, 0, 1, 0,1640,646,402,0.002
M_00000005 , 10 , 1 , 3600, 0.013,true, true, 3,526.000, 526.000, 0.000, 526.000, 513.970, 0.011, 0.012, 0.001, 0.004, 3, 1, 0, 1, 0,721,214,3,0.001
M_00000006 , 10 , 1 , 3600, 0.021,true, false, 5,527.000, 526.500, 0.095, 531.000, 514.600, 0.014, 0.016, 0.005, 0.008, 4, 1, 1, 0, 1,1036,460,34,0.001
M_00000007 , 10 , 1 , 3600, 0.022,true, false, 5,480.000, 479.800, 0.042, 480.000, 462.900, 0.014, 0.020, 0.004, 0.009, 3, 1, 0, 0, 2,1686,661,102,0.002
M_00000008 , 10 , 1 , 3600, 0.017,true, true, 3,524.000, 524.000, 0.000, 542.000, 511.759, 0.013, 0.015, 0.002, 0.005, 3, 1, 1, 0, 0,1295,542,39,0.001
M_00000009 , 10 , 1 , 3600, 0.025,true, true, 5,542.000, 542.000, 0.000, 543.000, 530.000, 0.016, 0.021, 0.003, 0.005, 5, 1, 1, 1, 0,1590,889,79,0.001
M_00000010 , 10 , 1 , 3600, 0.016,true, false, 5,517.000, 516.250, 0.145, 531.000, 503.600, 0.009, 0.011, 0.001, 0.002, 4, 1, 1, 0, 1,1070,542,187,0.0
M_00000011 , 10 , 1 , 3600, 0.063,true, true, 63,691.000, 691.000, 0.000, 691.000, 640.558, 0.013, 0.051, 0.025, 0.015, 63, 1, 0, 31, 0,6802,2776,597,0.002
M_00000012 , 10 , 1 , 3600, 0.016,true, true, 3,544.000, 544.000, 0.000, 544.000, 534.400, 0.012, 0.013, 0.002, 0.002, 3, 1, 0, 1, 0,657,344,61,0.0
M_00000013 , 10 , 1 , 3600, 0.024,true, true, 3,518.000, 518.000, 0.000, 524.000, 505.800, 0.018, 0.018, 0.000, 0.003, 3, 1, 1, 0, 0,594,302,56,0.0
M_00000014 , 10 , 1 , 3600, 0.021,true, true, 7,618.000, 618.000, 0.000, 622.000, 615.556, 0.016, 0.017, 0.011, 0.004, 6, 1, 1, 1, 1,1770,798,35,0.0
M_00000015 , 10 , 1 , 3600, 0.032,true, true, 19,712.000, 712.000, 0.000, 722.000, 674.796, 0.014, 0.023, 0.004, 0.007, 19, 1, 0, 9, 0,1919,529,161,0.0
M_00000016 , 10 , 1 , 3600, 0.020,true, true, 3,606.000, 606.000, 0.000, 606.000, 602.412, 0.015, 0.016, 0.006, 0.003, 3, 1, 0, 1, 0,998,348,43,0.002
M_00000017 , 10 , 1 , 3600, 0.014,true, true, 3,549.000, 549.000, 0.000, 549.000, 539.900, 0.011, 0.012, 0.000, 0.002, 3, 1, 0, 1, 0,936,461,154,0.0
M_00000018 , 10 , 1 , 3600, 0.016,true, true, 5,549.000, 549.000, 0.000, 553.000, 538.376, 0.009, 0.011, 0.001, 0.003, 5, 1, 2, 0, 0,2341,904,210,0.001
M_00000019 , 10 , 1 , 3600, 0.022,true, true, 13,590.000, 590.000, 0.000, 594.000, 582.462, 0.015, 0.019, 0.007, 0.002, 13, 1, 0, 6, 0,2952,1492,255,0.001
M_00000020 , 20 , 1 , 3600, 0.027,true, true, 3,951.000, 951.000, 0.000, 955.000, 938.100, 0.022, 0.022, 0.001, 0.009, 3, 1, 1, 0, 0,4169,2882,1603,0.001
M_00000021 , 20 , 1 , 3600, 0.262,true, false, 23,1176.000, 1175.200, 0.068, 1182.000, 1162.500, 0.031, 0.247, 0.011, 0.218, 12, 1, 0, 0, 11,53270,34080,4790,0.008
M_00000022 , 20 , 1 , 3600, 0.085,true, true, 15,1005.000, 1005.000, 0.000, 1011.000, 997.500, 0.021, 0.081, 0.007, 0.061, 9, 1, 1, 0, 6,14395,9256,1576,0.005
M_00000023 , 20 , 1 , 3600, 0.036,true, true, 3,920.000, 920.000, 0.000, 920.000, 904.000, 0.022, 0.032, 0.004, 0.014, 3, 1, 0, 1, 0,6694,4706,2273,0.001
M_00000024 , 20 , 1 , 3600, 0.236,true, false, 19,1185.000, 1184.167, 0.070, 1203.000, 1171.300, 0.036, 0.226, 0.021, 0.189, 11, 1, 1, 0, 8,53941,23921,13086,0.009000000000000001
M_00000025 , 20 , 1 , 3600, 0.036,true, true, 5,1103.000, 1103.000, 0.000, 1117.000, 1083.300, 0.016, 0.025, 0.002, 0.012, 4, 1, 1, 0, 1,7089,4245,2664,0.003
