instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numNodes, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
M_00000025 , 20 , 1 , 3600, 0.031,true, true, 5,1103.000, 1103.000, 0.000, 1117.000, 1083.300, 0.016, 0.024, 0.000, 0.011, 4, 1, 1, 0, 1,7089,4245,2664,0.0
M_00000026 , 20 , 1 , 3600, 0.040,true, true, 5,1277.000, 1277.000, 0.000, 1289.000, 1274.700, 0.033, 0.034, 0.007, 0.008, 4, 1, 1, 0, 1,6813,3836,1161,0.001
M_00000027 , 20 , 1 , 3600, 0.025,true, true, 3,967.000, 967.000, 0.000, 967.000, 955.700, 0.017, 0.020, 0.006, 0.005, 3, 1, 0, 1, 0,4508,3296,449,0.002
M_00000028 , 20 , 1 , 3600, 2.033,true, true, 385,1146.000, 1146.000, 0.000, 1158.000, 1126.200, 0.044, 1.968, 0.177, 1.549, 381, 1, 0, 192, 0,642814,247298,152693,0.08300000000000006
M_00000029 , 20 , 1 , 3600, 1.417,true, true, 119,1112.000, 1112.000, 0.000, 1125.000, 1092.100, 0.030, 1.387, 0.073, 1.232, 119, 1, 0, 59, 0,362552,154391,67526,0.059000000000000045
M_00000030 , 20 , 1 , 3600, 0.142,true, true, 33,1143.000, 1143.000, 0.000, 1168.000, 1127.300, 0.027, 0.132, 0.015, 0.098, 17, 1, 0, 0, 16,31952,17606,5107,0.008
M_00000031 , 20 , 1 , 3600, 0.120,true, true, 33,1212.000, 1212.000, 0.000, 1228.000, 1203.200, 0.024, 0.113, 0.017, 0.079, 18, 1, 1, 0, 15,28878,16513,1900,0.006
M_00000032 , 20 , 1 , 3600, 0.170,true, true, 49,943.000, 943.000, 0.000, 946.000, 929.300, 0.019, 0.157, 0.017, 0.119, 26, 1, 1, 0, 23,33126,23526,4042,0.004
M_00000033 , 20 , 1 , 3600, 1.681,true, true, 175,1135.000, 1135.000, 0.000, 1150.000, 1117.400, 0.023, 1.648, 0.097, 1.453, 175, 1, 0, 87, 0,420507,199024,32019,0.06200000000000005
M_00000034 , 20 , 1 , 3600, 0.454,true, true, 83,1248.000, 1248.000, 0.000, 1271.000, 1241.700, 0.032, 0.431, 0.033, 0.359, 81, 1, 0, 41, 0,134470,56611,13486,0.027000000000000014
M_00000035 , 20 , 1 , 3600, 0.052,true, true, 11,1413.000, 1413.000, 0.000, 1449.000, 1396.392, 0.025, 0.045, 0.007, 0.023, 7, 1, 1, 4, 0,18512,8017,4147,0.006
M_00000036 , 20 , 1 , 3600, 0.041,true, true, 5,981.000, 981.000, 0.000, 1011.000, 971.100, 0.025, 0.034, 0.003, 0.014, 4, 1, 1, 0, 1,6496,4126,1164,0.0
M_00000037 , 20 , 1 , 3600, 0.037,true, true, 3,947.000, 947.000, 0.000, 956.000, 933.700, 0.022, 0.032, 0.005, 0.016, 3, 1, 1, 0, 0,5104,3740,1423,0.001
M_00000038 , 20 , 1 , 3600, 0.020,true, true, 3,858.000, 858.000, 0.000, 858.000, 857.800, 0.015, 0.016, 0.000, 0.004, 3, 1, 0, 1, 0,2746,1831,587,0.001
M_00000039 , 20 , 1 , 3600, 0.059,true, true, 15,1022.000, 1022.000, 0.000, 1036.000, 1016.200, 0.026, 0.052, 0.002, 0.038, 8, 1, 0, 0, 7,11452,7240,1762,0.005
,,,,,,,,
