instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
M_00000000 , 10 , 1 , 3600, 0.118,true, true, 3,672.000, 672.000, 0.000, 702.000, 644.536, 0.066, 0.071, 0.012, 0.034, 3, 1, 1, 0, 0,884,506,66,0.018000000000000006
M_00000001 , 10 , 1 , 3600, 0.065,true, true, 9,703.000, 703.000, 0.000, 723.000, 665.208, 0.019, 0.037, 0.009, 0.016, 9, 1, 0, 4, 0,1579,458,103,0.002
M_00000002 , 10 , 1 , 3600, 0.013,true, true, 3,529.000, 529.000, 0.000, 529.000, 516.800, 0.010, 0.013, 0.004, 0.004, 3, 1, 0, 1, 0,684,238,5,0.002
M_00000003 , 10 , 1 , 3600, 0.019,true, true, 3,461.000, 461.000, 0.000, 462.000, 443.100, 0.017, 0.018, 0.003, 0.008, 3, 1, 1, 0, 0,807,299,95,0.003
M_00000004 , 10 , 1 , 3600, 0.018,true, true, 3,596.000, 596.000, 0.000, 596.000, 588.235, 0.015, 0.017, 0.002, 0.007, 3, 1, 0, 1, 0,1640,646,402,0.003
M_00000005 , 10 , 1 , 3600, 0.016,true, true, 3,526.000, 526.000, 0.000, 526.000, 513.970, 0.012, 0.014, 0.002, 0.004, 3, 1, 0, 1, 0,721,214,3,0.001
M_00000006 , 10 , 1 , 3600, 0.025,true, false, 5,527.000, 526.500, 0.095, 531.000, 514.600, 0.017, 0.020, 0.005, 0.006, 4, 1, 1, 0, 1,1036,460,34,0.0
M_00000007 , 10 , 1 , 3600, 0.025,true, false, 5,480.000, 479.800, 0.042, 480.000, 462.900, 0.016, 0.023, 0.002, 0.009, 3, 1, 0, 0, 2,1686,661,102,0.001
M_00000008 , 10 , 1 , 3600, 0.017,true, true, 3,524.000, 524.000, 0.000, 542.000, 511.759, 0.013, 0.014, 0.004, 0.003, 3, 1, 1, 0, 0,1295,542,39,0.001
M_00000009 , 10 , 1 , 3600, 0.025,true, true, 5,542.000, 542.000, 0.000, 543.000, 530.000, 0.016, 0.021, 0.001, 0.005, 5, 1, 1, 1, 0,1590,889,79,0.001
M_00000010 , 10 , 1 , 3600, 0.017,true, false, 5,517.000, 516.250, 0.145, 531.000, 503.600, 0.011, 0.013, 0.003, 0.002, 4, 1, 1, 0, 1,1070,542,187,0.0
M_00000011 , 10 , 1 , 3600, 0.079,true, true, 63,691.000, 691.000, 0.000, 691.000, 640.558, 0.016, 0.060, 0.018, 0.015, 63, 1, 0, 31, 0,6802,2776,597,0.003
M_00000012 , 10 , 1 , 3600, 0.020,true, true, 3,544.000, 544.000, 0.000, 544.000, 534.400, 0.016, 0.017, 0.002, 0.002, 3, 1, 0, 1, 0,657,344,61,0.0
M_00000013 , 10 , 1 , 3600, 0.026,true, true, 3,518.000, 518.000, 0.000, 524.000, 505.800, 0.020, 0.021, 0.002, 0.003, 3, 1, 1, 0, 0,594,302,56,0.002
M_00000014 , 10 , 1 , 3600, 0.027,true, true, 7,618.000, 618.000, 0.000, 622.000, 615.556, 0.019, 0.022, 0.003, 0.005, 6, 1, 1, 1, 1,1770,798,35,0.001
M_00000015 , 10 , 1 , 3600, 0.037,true, true, 19,712.000, 712.000, 0.000, 722.000, 674.796, 0.015, 0.025, 0.008, 0.004, 19, 1, 0, 9, 0,1919,529,161,0.0
M_00000016 , 10 , 1 , 3600, 0.018,true, true, 3,606.000, 606.000, 0.000, 606.000, 602.412, 0.014, 0.015, 0.000, 0.004, 3, 1, 0, 1, 0,998,348,43,0.001
M_00000017 , 10 , 1 , 3600, 0.017,true, true, 3,549.000, 549.000, 0.000, 549.000, 539.900, 0.010, 0.012, 0.003, 0.003, 3, 1, 0, 1, 0,936,461,154,0.0
M_00000018 , 10 , 1 , 3600, 0.022,true, true, 5,549.000, 549.000, 0.000, 553.000, 538.376, 0.014, 0.016, 0.004, 0.004, 5, 1, 2, 0, 0,2341,904,210,0.0
M_00000019 , 10 , 1 , 3600, 0.026,true, true, 13,590.000, 590.000, 0.000, 594.000, 582.462, 0.016, 0.022, 0.005, 0.005, 13, 1, 0, 6, 0,2952,1492,255,0.001
M_00000020 , 20 , 1 , 3600, 0.029,true, true, 3,951.000, 951.000, 0.000, 955.000, 938.100, 0.025, 0.025, 0.001, 0.010, 3, 1, 1, 0, 0,4169,2882,1603,0.003
M_00000021 , 20 , 1 , 3600, 0.319,true, false, 23,1176.000, 1175.200, 0.068, 1182.000, 1162.500, 0.037, 0.306, 0.020, 0.264, 12, 1, 0, 0, 11,53270,34080,4790,0.008
M_00000022 , 20 , 1 , 3600, 0.091,true, true, 15,1005.000, 1005.000, 0.000, 1011.000, 997.500, 0.028, 0.085, 0.011, 0.061, 9, 1, 1, 0, 6,14395,9256,1576,0.003
M_00000023 , 20 , 1 , 3600, 0.035,true, true, 3,920.000, 920.000, 0.000, 920.000, 904.000, 0.021, 0.032, 0.002, 0.014, 3, 1, 0, 1, 0,6694,4706,2273,0.003
M_00000024 , 20 , 1 , 3600, 0.247,true, false, 19,1185.000, 1184.167, 0.070, 1203.000, 1171.300, 0.036, 0.224, 0.020, 0.190, 11, 1, 1, 0, 8,53941,23921,13086,0.011000000000000003
M_00000025 , 20 , 1 , 3600, 0.038,true, true, 5,1103.000, 1103.000, 0.000, 1117.000, 1083.300, 0.017, 0.028, 0.007, 0.014, 4, 1, 1, 0, 1,7089,4245,2664,0.002
M_00000026 , 20 , 1 , 3600, 0.041,true, true, 5,1277.000, 1277.000, 0.000, 1289.000, 1274.700, 0.036, 0.037, 0.006, 0.013, 4, 1, 1, 0, 1,6813,3836,1161,0.001
M_00000027 , 20 , 1 , 3600, 0.026,true, true, 3,967.000, 967.000, 0.000, 967.000, 955.700, 0.019, 0.022, 0.004, 0.007, 3, 1, 0, 1, 0,4508,3296,449,0.002
