instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
L_00000000 , 10 , 1 , 3600, 0.102,true, true, 3,229.000, 229.000, 0.000, 229.000, 208.000, 0.051, 0.063, 0.009, 0.026, 3, 1, 0, 1, 0,391,258,0,0.008
L_00000001 , 10 , 1 , 3600, 0.022,true, true, 3,340.000, 340.000, 0.000, 340.000, 332.000, 0.013, 0.015, 0.002, 0.009, 3, 1, 0, 1, 0,241,153,17,0.004
L_00000002 , 10 , 1 , 3600, 0.028,true, true, 3,254.000, 254.000, 0.000, 256.000, 238.000, 0.010, 0.011, 0.001, 0.002, 3, 1, 1, 0, 0,146,76,0,0.001
L_00000003 , 10 , 1 , 3600, 0.022,true, true, 3,338.000, 338.000, 0.000, 338.000, 330.000, 0.014, 0.015, 0.004, 0.004, 3, 1, 0, 1, 0,370,206,81,0.001
L_00000004 , 10 , 1 , 3600, 0.006,true, true, 1,189.000, 189.000, 0.000, 189.000, 189.000, 0.005, 0.005, 0.001, 0.002, 1, 0, 1, 0, 0,10,0,0,0.002
L_00000005 , 10 , 1 , 3600, 0.015,true, true, 3,307.000, 307.000, 0.000, 310.000, 296.000, 0.013, 0.014, 0.009, 0.005, 3, 1, 1, 0, 0,237,143,11,0.003
L_00000006 , 10 , 1 , 3600, 0.020,true, true, 3,351.000, 351.000, 0.000, 351.000, 345.000, 0.013, 0.015, 0.000, 0.008, 3, 1, 0, 1, 0,244,120,0,0.003
L_00000007 , 10 , 1 , 3600, 0.018,true, true, 3,268.000, 268.000, 0.000, 271.000, 253.000, 0.010, 0.010, 0.000, 0.003, 3, 1, 1, 0, 0,216,103,0,0.001
L_00000008 , 10 , 1 , 3600, 0.018,true, true, 3,247.000, 247.000, 0.000, 249.000, 230.000, 0.011, 0.011, 0.001, 0.003, 3, 1, 1, 0, 0,267,152,0,0.0
L_00000009 , 10 , 1 , 3600, 0.022,true, true, 3,357.000, 357.000, 0.000, 357.000, 351.000, 0.012, 0.017, 0.001, 0.006, 3, 1, 0, 1, 0,983,565,113,0.001
L_00000010 , 10 , 1 , 3600, 0.021,true, true, 3,251.000, 251.000, 0.000, 252.000, 235.000, 0.015, 0.016, 0.004, 0.004, 3, 1, 1, 0, 0,264,146,0,0.001
L_00000011 , 10 , 1 , 3600, 0.018,true, true, 3,300.000, 300.000, 0.000, 300.000, 288.000, 0.010, 0.012, 0.004, 0.004, 3, 1, 0, 1, 0,848,551,8,0.0
L_00000012 , 10 , 1 , 3600, 0.023,true, true, 3,238.000, 238.000, 0.000, 238.000, 219.000, 0.010, 0.011, 0.001, 0.003, 3, 1, 0, 1, 0,472,317,0,0.003
L_00000013 , 10 , 1 , 3600, 0.016,true, true, 3,236.000, 236.000, 0.000, 236.000, 215.000, 0.011, 0.012, 0.001, 0.003, 3, 1, 0, 1, 0,647,435,0,0.001
