instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints, gurobiModelStatus
L_00000050, 20, 1, 3600.0, 0.145, true, true, 10, 468, 468, 0.000 , 0.001, 0.144, 441, 101, 2
L_00000051, 20, 1, 3600.0, 0.093, true, true, 6, 315, 315, 0.000 , 0.001, 0.092, 441, 101, 2
L_00000052, 20, 1, 3600.0, 0.169, true, true, 38, 445, 445, 0.000 , 0.001, 0.168, 441, 101, 2
L_00000053, 20, 1, 3600.0, 0.193, true, true, 6, 572, 572, 0.000 , 0.002, 0.191, 441, 101, 2
L_00000054, 20, 1, 3600.0, 0.130, true, true, 6, 519, 519, 0.000 , 0.001, 0.129, 441, 101, 2
L_00000055, 20, 1, 3600.0, 0.168, true, true, 6, 540, 540, 0.000 , 0.001, 0.167, 441, 101, 2
L_00000056, 20, 1, 3600.0, 0.176, true, true, 11, 484, 484, 0.000 , 0.001, 0.175, 441, 101, 2
L_00000057, 20, 1, 3600.0, 2.738, true, true, 4630, 673, 673, 0.000 , 0.001, 2.737, 441, 101, 2
L_00000058, 20, 1, 3600.0, 0.141, true, true, 6, 545, 545, 0.000 , 0.001, 0.140, 441, 101, 2
L_00000059, 20, 1, 3600.0, 0.141, true, true, 7, 524, 524, 0.000 , 0.001, 0.140, 441, 101, 2
L_00000060, 20, 1, 3600.0, 0.158, true, true, 6, 552, 552, 0.000 , 0.001, 0.157, 441, 101, 2
L_00000061, 20, 1, 3600.0, 0.166, true, true, 6, 549, 549, 0.000 , 0.001, 0.165, 441, 101, 2
L_00000062, 20, 1, 3600.0, 0.176, true, true, 6, 567, 567, 0.000 , 0.001, 0.175, 441, 101, 2
L_00000063, 20, 1, 3600.0, 0.157, true, true, 6, 525, 525, 0.000 , 0.001, 0.156, 441, 101, 2
L_00000064, 20, 1, 3600.0, 0.162, true, true, 6, 624, 624, 0.000 , 0.001, 0.161, 441, 101, 2
L_00000065, 20, 1, 3600.0, 0.139, true, true, 6, 551, 551, 0.000 , 0.001, 0.138, 441, 101, 2
L_00000066, 20, 1, 3600.0, 0.197, true, true, 6, 555, 555, 0.000 , 0.002, 0.195, 441, 101, 2
L_00000067, 20, 1, 3600.0, 0.161, true, true, 6, 588, 588, 0.000 , 0.001, 0.160, 441, 101, 2
L_00000068, 20, 1, 3600.0, 0.128, true, true, 4, 402, 402, 0.000 , 0.002, 0.126, 441, 101, 2
L_00000069, 20, 1, 3600.0, 0.075, true, true, 1, 359, 359, 0.000 , 0.002, 0.073, 441, 101, 2
L_00000070, 20, 1, 3600.0, 0.124, true, true, 6, 511, 511, 0.000 , 0.001, 0.123, 441, 101, 2
L_00000071, 20, 1, 3600.0, 0.152, true, true, 6, 516, 516, 0.000 , 0.001, 0.151, 441, 101, 2
L_00000072, 20, 1, 3600.0, 0.183, true, true, 6, 492, 492, 0.000 , 0.001, 0.182, 441, 101, 2
L_00000073, 20, 1, 3600.0, 0.191, true, true, 6, 555, 555, 0.000 , 0.009, 0.182, 441, 101, 2
L_00000074, 20, 1, 3600.0, 0.167, true, true, 10, 588, 588, 0.000 , 0.001, 0.166, 441, 101, 2
L_00000075, 20, 1, 3600.0, 0.169, true, true, 6, 500, 500, 0.000 , 0.001, 0.168, 441, 101, 2
L_00000076, 20, 1, 3600.0, 5.104, true, true, 7152, 453, 453, 0.000 , 0.000, 5.104, 441, 101, 2
L_00000077, 20, 1, 3600.0, 0.184, true, true, 6, 530, 530, 0.000 , 0.001, 0.183, 441, 101, 2
L_00000078, 20, 1, 3600.0, 0.141, true, true, 6, 614, 614, 0.000 , 0.001, 0.140, 441, 101, 2
L_00000079, 20, 1, 3600.0, 0.164, true, true, 1, 595, 595, 0.000 , 0.002, 0.162, 441, 101, 2
L_00000080, 20, 1, 3600.0, 0.184, true, true, 6, 527, 527, 0.000 , 0.001, 0.183, 441, 101, 2
L_00000081, 20, 1, 3600.0, 0.145, true, true, 6, 543, 543, 0.000 , 0.001, 0.144, 441, 101, 2
L_00000082, 20, 1, 3600.0, 0.194, true, true, 6, 619, 619, 0.000 , 0.001, 0.193, 441, 101, 2
L_00000083, 20, 1, 3600.0, 0.154, true, true, 6, 518, 518, 0.000 , 0.001, 0.153, 441, 101, 2
L_00000084, 20, 1, 3600.0, 0.127, true, true, 6, 537, 537, 0.000 , 0.001, 0.126, 441, 101, 2
L_00000085, 20, 1, 3600.0, 0.164, true, true, 6, 480, 480, 0.000 , 0.001, 0.163, 441, 101, 2
L_00000086, 20, 1, 3600.0, 0.147, true, true, 6, 517, 517, 0.000 , 0.001, 0.146, 441, 101, 2
L_00000087, 20, 1, 3600.0, 1.911, true, true, 1915, 449, 449, 0.000 , 0.001, 1.910, 441, 101, 2
L_00000088, 20, 1, 3600.0, 0.204, true, true, 6, 594, 594, 0.000 , 0.002, 0.202, 441, 101, 2
