instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000040,10,1,3600,1,1,253.000, 253.000, 0.000, 253.000, 237.000,0.026, 0.004, 0.004, 0.001, 0.002, 0.002,4, 4, 1,3,3,0,1,1,0,174,126,0,
L_00000041,10,1,3600,1,1,287.000, 287.000, 0.000, 292.000, 274.000,0.026, 0.007, 0.009, 0.003, 0.003, 0.002,4, 4, 1,3,3,0,1,0,1,286,220,0,
L_00000042,10,1,3600,1,1,311.000, 311.000, 0.000, 311.000, 301.000,0.021, 0.005, 0.006, 0.000, 0.002, 0.002,4, 4, 1,3,3,0,1,1,0,177,131,0,
L_00000043,10,1,3600,1,1,236.000, 236.000, 0.000, 245.000, 218.000,0.021, 0.004, 0.005, 0.001, 0.002, 0.002,4, 4, 1,3,3,0,1,0,1,141,104,0,
L_00000044,10,1,3600,1,1,302.000, 302.000, 0.000, 304.000, 291.000,0.022, 0.005, 0.006, 0.001, 0.003, 0.003,4, 4, 1,3,3,0,1,0,1,458,337,0,
L_00000045,10,1,3600,1,1,262.000, 262.000, 0.000, 266.000, 247.000,0.023, 0.005, 0.006, 0.003, 0.003, 0.003,4, 4, 1,3,3,0,1,0,1,204,141,0,
L_00000046,10,1,3600,1,1,171.000, 171.000, 0.000, 171.000, 171.000,0.006, 0.003, 0.003, 0.001, 0.001, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000047,10,1,3600,1,1,189.000, 189.000, 0.000, 189.000, 189.000,0.006, 0.003, 0.003, 0.001, 0.001, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000048,10,1,3600,1,1,310.000, 310.000, 0.000, 315.000, 299.000,0.026, 0.006, 0.007, 0.002, 0.003, 0.002,5, 5, 1,3,3,0,1,0,1,641,476,0,
L_00000049,10,1,3600,1,1,274.000, 274.000, 0.000, 277.000, 260.000,0.022, 0.004, 0.005, 0.001, 0.002, 0.002,4, 4, 1,3,3,0,1,0,1,465,367,0,
L_00000050,20,1,3600,1,1,468.000, 468.000, 0.000, 468.000, 451.000,0.027, 0.007, 0.009, 0.004, 0.004, 0.002,4, 4, 1,3,3,0,1,1,0,1328,1097,5,
L_00000051,20,1,3600,1,1,315.000, 315.000, 0.000, 315.000, 305.000,0.029, 0.011, 0.012, 0.004, 0.008, 0.003,4, 4, 1,3,3,0,1,1,0,3363,2794,0,
L_00000052,20,1,3600,1,1,445.000, 445.000, 0.000, 445.000, 425.000,0.434, 0.009, 0.228, 0.090, 0.051, 0.017,91, 91, 36,73,73,0,3,34,0,30652,25625,89,
L_00000053,20,1,3600,1,1,572.000, 572.000, 0.000, 576.000, 566.000,0.038, 0.009, 0.013, 0.001, 0.008, 0.003,7, 7, 2,5,4,1,1,0,1,2852,2406,10,
L_00000054,20,1,3600,1,1,519.000, 519.000, 0.000, 519.000, 507.000,0.038, 0.015, 0.018, 0.005, 0.008, 0.003,9, 9, 1,3,3,0,1,1,0,6579,5694,9,
L_00000055,20,1,3600,1,1,540.000, 540.000, 0.000, 540.000, 530.000,0.031, 0.010, 0.013, 0.003, 0.008, 0.002,7, 7, 1,3,3,0,1,1,0,5991,4906,38,
L_00000056,20,1,3600,1,1,484.000, 484.000, 0.000, 484.000, 469.000,0.036, 0.011, 0.018, 0.007, 0.009, 0.003,8, 8, 1,3,3,0,1,1,0,9107,7568,37,
L_00000057,20,1,3600,1,1,673.000, 673.000, 0.000, 673.000, 654.000,0.299, 0.011, 0.103, 0.028, 0.019, 0.016,93, 93, 40,81,81,0,3,38,0,16758,14435,98,
L_00000058,20,1,3600,1,1,545.000, 545.000, 0.000, 547.000, 536.000,0.037, 0.010, 0.015, 0.003, 0.006, 0.003,10, 10, 2,5,4,1,1,0,1,3666,3080,21,
L_00000059,20,1,3600,1,1,524.000, 524.000, 0.000, 524.000, 513.000,0.036, 0.011, 0.017, 0.003, 0.010, 0.004,7, 7, 1,3,3,0,1,1,0,7901,6792,36,
L_00000060,20,1,3600,1,1,552.000, 552.000, 0.000, 552.000, 544.000,0.030, 0.010, 0.013, 0.003, 0.006, 0.003,7, 7, 1,3,3,0,1,1,0,3300,2723,6,
L_00000061,20,1,3600,1,1,549.000, 549.000, 0.000, 549.000, 540.000,0.035, 0.012, 0.014, 0.001, 0.008, 0.003,6, 6, 1,3,3,0,1,1,0,5503,4713,11,
L_00000062,20,1,3600,1,1,567.000, 567.000, 0.000, 569.000, 560.000,0.040, 0.014, 0.019, 0.008, 0.005, 0.003,10, 10, 2,5,4,1,1,0,1,4581,3840,35,
L_00000063,20,1,3600,1,1,525.000, 525.000, 0.000, 549.000, 514.000,0.037, 0.010, 0.015, 0.004, 0.008, 0.003,10, 10, 2,5,4,1,1,0,1,7352,6126,13,
L_00000064,20,1,3600,1,1,624.000, 624.000, 0.000, 624.000, 623.000,0.029, 0.010, 0.012, 0.004, 0.005, 0.002,7, 7, 1,3,3,0,1,1,0,2939,2477,28,
L_00000065,20,1,3600,1,1,551.000, 551.000, 0.000, 551.000, 543.000,0.028, 0.010, 0.011, 0.003, 0.006, 0.003,5, 5, 1,3,3,0,1,1,0,2271,1826,70,
L_00000066,20,1,3600,1,1,555.000, 555.000, 0.000, 557.000, 547.000,0.036, 0.009, 0.013, 0.006, 0.005, 0.002,8, 8, 2,5,4,1,1,0,1,2987,2513,19,
L_00000067,20,1,3600,1,1,588.000, 588.000, 0.000, 589.000, 583.000,0.040, 0.011, 0.015, 0.006, 0.006, 0.003,8, 8, 2,5,4,1,1,0,1,4005,3281,17,
L_00000068,20,1,3600,1,1,402.000, 402.000, 0.000, 402.000, 401.000,0.027, 0.008, 0.009, 0.000, 0.004, 0.003,4, 4, 1,3,3,0,1,1,0,1118,939,10,
L_00000069,20,1,3600,1,1,359.000, 359.000, 0.000, 359.000, 353.000,0.035, 0.010, 0.010, 0.002, 0.006, 0.008,4, 4, 1,3,3,0,1,1,0,2801,2339,1,
L_00000070,20,1,3600,1,1,511.000, 511.000, 0.000, 511.000, 499.000,0.032, 0.010, 0.013, 0.003, 0.005, 0.004,7, 7, 1,3,3,0,1,1,0,3888,3351,9,
L_00000071,20,1,3600,1,1,516.000, 516.000, 0.000, 517.000, 504.000,0.030, 0.011, 0.013, 0.004, 0.006, 0.003,6, 6, 1,3,3,0,1,0,1,4155,3510,14,
L_00000072,20,1,3600,1,1,492.000, 492.000, 0.000, 495.000, 478.000,0.076, 0.009, 0.033, 0.008, 0.019, 0.003,20, 20, 7,15,9,6,1,0,1,15786,13574,27,
L_00000073,20,1,3600,1,1,555.000, 555.000, 0.000, 555.000, 547.000,0.033, 0.012, 0.015, 0.004, 0.007, 0.003,9, 9, 1,3,3,0,1,1,0,4512,3786,10,
L_00000074,20,1,3600,1,1,588.000, 588.000, 0.000, 589.000, 583.000,0.072, 0.020, 0.023, 0.004, 0.012, 0.008,9, 9, 3,7,4,3,1,0,0,5295,4492,6,
L_00000075,20,1,3600,1,1,500.000, 500.000, 0.000, 502.000, 486.000,0.777, 0.011, 0.685, 0.201, 0.093, 0.023,328, 328, 145,291,282,9,12,124,1,90557,75087,113,
L_00000076,20,1,3600,1,1,453.000, 453.000, 0.000, 453.000, 434.000,1.152, 0.013, 1.042, 0.348, 0.080, 0.020,434, 434, 200,401,401,0,14,187,0,81939,67073,636,
L_00000077,20,1,3600,1,1,530.000, 530.000, 0.000, 530.000, 519.000,0.028, 0.009, 0.013, 0.006, 0.007, 0.003,7, 7, 1,3,3,0,1,1,0,4290,3659,14,
L_00000078,20,1,3600,1,1,614.000, 614.000, 0.000, 615.000, 612.000,0.028, 0.011, 0.013, 0.003, 0.007, 0.003,8, 8, 4,9,6,3,1,0,1,3992,3367,10,
