instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000030,10,1,3600,1,1,311.000, 311.000, 0.000, 0.000, 301.000,0.025, 0.005, 0.007, 0.001, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,325,243,0,
L_00000031,10,1,3600,1,1,309.000, 309.000, 0.000, 0.000, 298.000,0.022, 0.006, 0.006, 0.000, 0.004, 0.000,4, 4, 0,3,3,0,1,0,1,273,198,0,
L_00000032,10,1,3600,1,1,373.000, 373.000, 0.000, 0.000, 369.000,0.023, 0.005, 0.008, 0.002, 0.004, 0.000,5, 5, 0,3,3,0,1,0,1,286,214,3,
L_00000033,10,1,3600,1,1,240.000, 240.000, 0.000, 0.000, 222.000,0.021, 0.005, 0.006, 0.002, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,198,144,0,
L_00000034,10,1,3600,1,1,182.000, 182.000, 0.000, 182.000, 182.000,0.009, 0.004, 0.004, 0.002, 0.002, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000035,10,1,3600,1,1,320.000, 320.000, 0.000, 0.000, 310.000,0.021, 0.006, 0.006, 0.003, 0.002, 0.000,4, 4, 0,3,3,0,1,0,1,375,291,1,
L_00000036,10,1,3600,1,1,265.000, 265.000, 0.000, 0.000, 250.000,0.024, 0.006, 0.007, 0.001, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,179,132,0,
L_00000037,10,1,3600,1,1,269.000, 269.000, 0.000, 0.000, 254.000,0.023, 0.006, 0.007, 0.002, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,146,107,0,
L_00000038,10,1,3600,1,1,229.000, 229.000, 0.000, 0.000, 208.000,0.023, 0.005, 0.007, 0.002, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,479,358,0,
L_00000039,10,1,3600,1,1,301.000, 301.000, 0.000, 0.000, 290.000,0.022, 0.006, 0.007, 0.000, 0.004, 0.000,4, 4, 0,3,3,0,1,0,1,176,128,1,
L_00000040,10,1,3600,1,1,253.000, 253.000, 0.000, 0.000, 237.000,0.027, 0.006, 0.007, 0.004, 0.002, 0.000,4, 4, 0,3,3,0,1,0,1,174,126,0,
L_00000041,10,1,3600,1,1,287.000, 287.000, 0.000, 0.000, 274.000,0.025, 0.008, 0.010, 0.003, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,286,220,0,
L_00000042,10,1,3600,1,1,311.000, 311.000, 0.000, 0.000, 301.000,0.021, 0.006, 0.007, 0.004, 0.002, 0.000,4, 4, 0,3,3,0,1,0,1,177,131,0,
L_00000043,10,1,3600,1,1,236.000, 236.000, 0.000, 0.000, 218.000,0.022, 0.006, 0.006, 0.000, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,141,104,0,
L_00000044,10,1,3600,1,1,302.000, 302.000, 0.000, 0.000, 291.000,0.024, 0.007, 0.007, 0.001, 0.004, 0.000,4, 4, 0,3,3,0,1,0,1,458,337,0,
L_00000045,10,1,3600,1,1,262.000, 262.000, 0.000, 0.000, 247.000,0.022, 0.006, 0.007, 0.002, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,204,141,0,
L_00000046,10,1,3600,1,1,171.000, 171.000, 0.000, 171.000, 171.000,0.007, 0.005, 0.005, 0.000, 0.003, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000047,10,1,3600,1,1,189.000, 189.000, 0.000, 189.000, 189.000,0.008, 0.005, 0.005, 0.000, 0.002, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000048,10,1,3600,1,1,310.000, 310.000, 0.000, 0.000, 299.000,0.028, 0.008, 0.008, 0.000, 0.006, 0.000,5, 5, 0,3,3,0,1,0,1,641,476,0,
L_00000049,10,1,3600,1,1,274.000, 274.000, 0.000, 0.000, 260.000,0.022, 0.005, 0.005, 0.001, 0.003, 0.000,4, 4, 0,3,3,0,1,0,1,465,367,0,
L_00000050,20,1,3600,1,1,468.000, 468.000, 0.000, 0.000, 451.000,0.023, 0.008, 0.009, 0.002, 0.004, 0.000,4, 4, 0,3,3,0,1,0,1,1328,1097,5,
L_00000051,20,1,3600,1,1,315.000, 315.000, 0.000, 0.000, 305.000,0.030, 0.011, 0.012, 0.002, 0.009, 0.000,4, 4, 0,3,3,0,1,0,1,3363,2794,0,
L_00000052,20,1,3600,0,1,445.000, 445.000, 0.000, 0.000, 425.000,0.523, 0.009, 0.261, 0.087, 0.059, 0.000,99, 99, 0,109,76,33,3,17,2,32177,26762,112,
L_00000053,20,1,3600,1,1,572.000, 572.000, 0.000, 0.000, 566.000,0.035, 0.012, 0.014, 0.005, 0.005, 0.000,7, 7, 0,5,4,1,1,0,1,2852,2406,10,
L_00000054,20,1,3600,1,1,519.000, 519.000, 0.000, 0.000, 507.000,0.034, 0.010, 0.014, 0.005, 0.006, 0.000,10, 10, 0,5,4,1,1,0,1,6599,5714,9,
L_00000055,20,1,3600,1,1,540.000, 540.000, 0.000, 0.000, 530.000,0.034, 0.010, 0.013, 0.005, 0.007, 0.000,8, 8, 0,5,4,1,1,0,1,6011,4926,38,
L_00000056,20,1,3600,1,1,484.000, 484.000, 0.000, 0.000, 469.000,0.350, 0.010, 0.166, 0.053, 0.056, 0.000,82, 82, 0,85,48,37,1,3,2,57167,46445,375,
L_00000057,20,1,3600,1,1,673.000, 673.000, 0.000, 0.000, 654.000,0.412, 0.012, 0.127, 0.052, 0.022, 0.000,97, 97, 0,161,82,79,1,0,1,23124,19993,45,
L_00000058,20,1,3600,1,1,545.000, 545.000, 0.000, 0.000, 536.000,0.023, 0.009, 0.012, 0.002, 0.005, 0.000,10, 10, 0,5,4,1,1,0,1,3666,3080,21,
L_00000059,20,1,3600,1,1,524.000, 524.000, 0.000, 0.000, 513.000,0.093, 0.013, 0.073, 0.019, 0.034, 0.000,40, 40, 0,29,16,13,1,0,1,38573,32485,62,
L_00000060,20,1,3600,1,1,552.000, 552.000, 0.000, 0.000, 544.000,0.023, 0.009, 0.012, 0.004, 0.004, 0.000,7, 7, 0,3,3,0,1,0,1,3300,2723,6,
L_00000061,20,1,3600,1,1,549.000, 549.000, 0.000, 0.000, 540.000,0.027, 0.014, 0.015, 0.004, 0.008, 0.000,6, 6, 0,3,3,0,1,0,1,5503,4713,11,
L_00000062,20,1,3600,1,1,567.000, 567.000, 0.000, 0.000, 560.000,0.062, 0.010, 0.045, 0.015, 0.017, 0.000,44, 44, 0,41,22,19,1,0,1,15031,12381,50,
L_00000063,20,1,3600,1,1,525.000, 525.000, 0.000, 0.000, 514.000,0.035, 0.010, 0.019, 0.008, 0.008, 0.000,10, 10, 0,5,4,1,1,0,1,7352,6126,13,
L_00000064,20,1,3600,1,1,624.000, 624.000, 0.000, 0.000, 623.000,0.022, 0.009, 0.011, 0.005, 0.003, 0.000,7, 7, 0,3,3,0,1,0,1,2939,2477,28,
L_00000065,20,1,3600,1,1,551.000, 551.000, 0.000, 0.000, 543.000,0.023, 0.009, 0.011, 0.004, 0.004, 0.000,5, 5, 0,3,3,0,1,0,1,2271,1826,70,
L_00000066,20,1,3600,1,1,555.000, 555.000, 0.000, 0.000, 547.000,0.023, 0.008, 0.012, 0.008, 0.003, 0.000,8, 8, 0,5,4,1,1,0,1,2987,2513,19,
L_00000067,20,1,3600,1,1,588.000, 588.000, 0.000, 0.000, 583.000,0.024, 0.009, 0.012, 0.005, 0.004, 0.000,8, 8, 0,5,4,1,1,0,1,4005,3281,17,
L_00000068,20,1,3600,1,1,402.000, 402.000, 0.000, 0.000, 401.000,0.020, 0.007, 0.008, 0.001, 0.004, 0.000,4, 4, 0,3,3,0,1,0,1,1118,939,10,
L_00000069,20,1,3600,1,1,359.000, 359.000, 0.000, 0.000, 353.000,0.022, 0.010, 0.011, 0.002, 0.005, 0.000,4, 4, 0,3,3,0,1,0,1,2801,2339,1,
L_00000070,20,1,3600,1,1,511.000, 511.000, 0.000, 0.000, 499.000,0.048, 0.009, 0.035, 0.011, 0.019, 0.000,25, 25, 0,17,10,7,1,0,1,22119,18619,60,
L_00000071,20,1,3600,1,1,516.000, 516.000, 0.000, 0.000, 504.000,0.023, 0.011, 0.013, 0.004, 0.005, 0.000,6, 6, 0,3,3,0,1,0,1,4155,3510,14,
L_00000072,20,1,3600,1,1,492.000, 492.000, 0.000, 0.000, 478.000,0.036, 0.009, 0.024, 0.010, 0.010, 0.000,19, 19, 0,15,9,6,1,0,1,13403,11485,40,
L_00000073,20,1,3600,1,1,555.000, 555.000, 0.000, 0.000, 547.000,0.045, 0.010, 0.035, 0.007, 0.018, 0.000,25, 25, 0,15,9,6,1,0,1,15691,13142,36,
L_00000074,20,1,3600,1,1,588.000, 588.000, 0.000, 0.000, 583.000,0.034, 0.010, 0.022, 0.006, 0.007, 0.000,15, 15, 0,13,8,5,1,0,1,6915,5793,6,
L_00000075,20,1,3600,1,1,500.000, 500.000, 0.000, 0.000, 486.000,0.339, 0.009, 0.294, 0.076, 0.076, 0.000,129, 129, 0,175,89,86,1,0,1,77757,63584,654,
L_00000076,20,1,3600,1,1,453.000, 453.000, 0.000, 0.000, 434.000,0.938, 0.011, 0.857, 0.265, 0.108, 0.000,332, 332, 0,491,298,193,14,37,2,110952,89106,2194,
L_00000077,20,1,3600,1,1,530.000, 530.000, 0.000, 0.000, 519.000,0.030, 0.009, 0.018, 0.006, 0.009, 0.000,14, 14, 0,13,8,5,1,0,1,8282,7028,21,
L_00000078,20,1,3600,1,1,614.000, 614.000, 0.000, 0.000, 612.000,0.022, 0.010, 0.012, 0.003, 0.004, 0.000,8, 8, 0,9,6,3,1,0,1,3992,3367,10,
L_00000079,20,1,3600,1,1,595.000, 595.000, 0.000, 0.000, 591.000,0.035, 0.009, 0.018, 0.006, 0.010, 0.000,18, 18, 0,17,10,7,1,0,1,8595,7135,38,
L_00000080,20,1,3600,1,1,527.000, 527.000, 0.000, 0.000, 516.000,0.029, 0.012, 0.019, 0.006, 0.009, 0.000,13, 13, 0,9,6,3,1,0,1,4955,4146,8,
L_00000081,20,1,3600,1,1,543.000, 543.000, 0.000, 0.000, 534.000,0.059, 0.011, 0.043, 0.013, 0.022, 0.000,33, 33, 0,21,12,9,1,0,1,24460,20650,61,
L_00000082,20,1,3600,1,1,619.000, 619.000, 0.000, 0.000, 617.000,0.023, 0.010, 0.012, 0.005, 0.005, 0.000,9, 9, 0,3,3,0,1,0,1,4675,3960,56,
L_00000083,20,1,3600,1,1,518.000, 518.000, 0.000, 0.000, 506.000,0.054, 0.009, 0.040, 0.015, 0.017, 0.000,31, 31, 0,29,16,13,1,0,1,21811,17750,38,
L_00000084,20,1,3600,1,1,537.000, 537.000, 0.000, 0.000, 527.000,0.024, 0.010, 0.016, 0.006, 0.005, 0.000,9, 9, 0,7,5,2,1,0,1,3965,3248,25,
