instName, numOfJobs, numOfThreads, timeLimit, feasible, optimal, globalUB, globalLB, gap,rootUB, rootLB, timeCost, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, timeOnHeuristics, cntRMPCall, cntPPCall, cntHeuristicsCall, numOfNodes, numOfNodesSolved, numOfNodesRemained, numOfNodesPrunedByInfeasible, numOfNodesPrunedByBound, numOfNodesPrunedByOptimal, numOfLabels, numOfLabelsPrunedByLb, numOfLabelsDominated
L_00000000,10,1,3600,1,1,229.000, 229.000, 0.000, 229.000, 208.000,0.236, 0.089, 0.099, 0.036, 0.056, 0.015,4, 4, 1,3,3,0,2,0,0,393,294,0,
L_00000001,10,1,3600,1,1,340.000, 340.000, 0.000, 340.000, 332.000,0.033, 0.023, 0.026, 0.002, 0.019, 0.001,4, 4, 1,3,3,0,2,0,0,241,187,0,
L_00000002,10,1,3600,1,1,254.000, 254.000, 0.000, 256.000, 238.000,0.022, 0.009, 0.014, 0.002, 0.006, 0.001,4, 4, 1,3,3,0,1,0,1,145,109,0,
L_00000003,10,1,3600,1,1,338.000, 338.000, 0.000, 338.000, 330.000,0.031, 0.014, 0.022, 0.001, 0.016, 0.001,4, 4, 1,3,3,0,2,0,0,368,274,0,
L_00000004,10,1,3600,1,1,189.000, 189.000, 0.000, 189.000, 189.000,0.012, 0.009, 0.009, 0.002, 0.005, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000005,10,1,3600,1,1,307.000, 307.000, 0.000, 310.000, 296.000,0.040, 0.027, 0.028, 0.013, 0.016, 0.002,4, 4, 1,3,3,0,1,0,1,237,179,0,
L_00000006,10,1,3600,1,1,351.000, 351.000, 0.000, 351.000, 345.000,0.035, 0.014, 0.017, 0.008, 0.010, 0.001,4, 4, 1,3,3,0,2,0,0,225,168,0,
L_00000007,10,1,3600,1,1,268.000, 268.000, 0.000, 271.000, 253.000,0.025, 0.010, 0.011, 0.001, 0.006, 0.002,4, 4, 1,3,3,0,1,0,1,216,156,0,
L_00000008,10,1,3600,1,1,247.000, 247.000, 0.000, 249.000, 230.000,0.031, 0.011, 0.013, 0.004, 0.008, 0.002,4, 4, 1,3,3,0,1,0,1,262,186,0,
L_00000009,10,1,3600,1,1,357.000, 357.000, 0.000, 357.000, 351.000,0.051, 0.014, 0.028, 0.005, 0.020, 0.001,7, 7, 1,3,3,0,2,0,0,1058,805,0,
L_00000010,10,1,3600,1,1,251.000, 251.000, 0.000, 252.000, 235.000,0.043, 0.015, 0.018, 0.003, 0.010, 0.002,4, 4, 1,3,3,0,1,0,1,262,188,0,
L_00000011,10,1,3600,1,1,300.000, 300.000, 0.000, 300.000, 288.000,0.042, 0.013, 0.023, 0.008, 0.014, 0.002,5, 5, 1,3,3,0,2,0,0,1418,1039,1,
L_00000012,10,1,3600,1,1,238.000, 238.000, 0.000, 238.000, 219.000,0.037, 0.013, 0.017, 0.004, 0.009, 0.002,4, 4, 1,3,3,0,2,0,0,453,344,0,
L_00000013,10,1,3600,1,1,236.000, 236.000, 0.000, 236.000, 215.000,0.036, 0.007, 0.010, 0.004, 0.005, 0.002,6, 6, 1,3,3,0,2,0,0,869,669,0,
L_00000014,10,1,3600,1,1,240.000, 240.000, 0.000, 241.000, 222.000,0.035, 0.010, 0.011, 0.004, 0.005, 0.002,4, 4, 1,3,3,0,1,0,1,269,180,0,
L_00000015,10,1,3600,1,1,226.000, 226.000, 0.000, 226.000, 204.000,0.055, 0.008, 0.012, 0.004, 0.007, 0.002,4, 4, 1,3,3,0,2,0,0,386,280,0,
L_00000016,10,1,3600,1,1,279.000, 279.000, 0.000, 279.000, 265.000,0.029, 0.007, 0.007, 0.003, 0.003, 0.003,4, 4, 1,3,3,0,2,0,0,175,128,0,
L_00000017,10,1,3600,1,1,367.000, 367.000, 0.000, 367.000, 362.000,0.035, 0.008, 0.009, 0.000, 0.006, 0.002,4, 4, 1,3,3,0,2,0,0,625,459,13,
L_00000018,10,1,3600,1,1,285.000, 285.000, 0.000, 285.000, 272.000,0.033, 0.007, 0.008, 0.005, 0.003, 0.003,4, 4, 1,3,3,0,2,0,0,374,270,0,
L_00000019,10,1,3600,1,1,264.000, 264.000, 0.000, 268.000, 249.000,0.029, 0.006, 0.007, 0.002, 0.003, 0.003,4, 4, 1,3,3,0,1,0,1,194,138,0,
L_00000020,10,1,3600,1,1,196.000, 196.000, 0.000, 196.000, 196.000,0.007, 0.004, 0.004, 0.000, 0.002, 0.000,1, 1, 0,1,1,0,0,0,1,10,10,0,
L_00000021,10,1,3600,1,1,322.000, 322.000, 0.000, 322.000, 313.000,0.026, 0.005, 0.006, 0.003, 0.002, 0.002,4, 4, 1,3,3,0,2,0,0,419,308,0,
